timestamp_body,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,times_clock_body,5 x deep breath,5 x deep breath_notes
705887161,2.23,3.51,-8.74,0.14,-2.59,0.21,2024-06-07 15:22:15.271825,0,
705887165,2.24,3.56,-8.82,-0.21,-2.73,0.07,2024-06-07 15:22:15.272822,0,
705887170,2.26,3.59,-8.77,-0.49,-2.73,0.07,2024-06-07 15:22:15.272822,0,
705887177,2.24,3.56,-8.83,-0.84,-2.8,0.21,2024-06-07 15:22:15.301734,0,
705887181,2.26,3.59,-8.86,-0.84,-3.08,-0.21,2024-06-07 15:22:15.301734,0,
705887186,2.27,3.55,-8.81,-0.77,-3.15,-0.21,2024-06-07 15:22:15.301734,0,
705887191,2.32,3.57,-8.86,-0.63,-3.36,-0.28,2024-06-07 15:22:15.301734,0,
705887196,2.29,3.55,-8.79,-0.49,-3.71,-0.21,2024-06-07 15:22:15.301734,0,
705887201,2.24,3.61,-8.78,-0.42,-3.92,-0.35,2024-06-07 15:22:15.301734,0,
705887205,2.25,3.57,-8.74,-0.49,-4.13,-0.28,2024-06-07 15:22:15.301734,0,
705887210,2.24,3.58,-8.73,-0.56,-4.34,-0.14,2024-06-07 15:22:15.301734,0,
705887216,2.22,3.56,-8.69,-0.63,-3.85,-0.07,2024-06-07 15:22:15.346577,0,
705887220,2.24,3.55,-8.74,-0.35,-2.87,0.07,2024-06-07 15:22:15.346577,0,
705887225,2.25,3.5,-8.81,0.28,-1.75,0.42,2024-06-07 15:22:15.346577,0,
705887230,2.25,3.51,-8.79,0.91,-1.19,0.42,2024-06-07 15:22:15.346577,0,
705887235,2.22,3.5,-8.78,0.98,-0.77,0.49,2024-06-07 15:22:15.347632,0,
705887240,2.2,3.53,-8.77,1.12,-0.56,0.84,2024-06-07 15:22:15.347632,0,
705887244,2.2,3.52,-8.71,1.12,-0.49,1.26,2024-06-07 15:22:15.347632,0,
705887249,2.16,3.53,-8.7,0.91,-0.49,1.47,2024-06-07 15:22:15.347632,0,
705887255,2.18,3.54,-8.65,0.35,-0.35,1.33,2024-06-07 15:22:15.391428,0,
705887259,2.18,3.53,-8.61,-0.49,-0.56,1.05,2024-06-07 15:22:15.392426,0,
705887264,2.2,3.56,-8.55,-0.84,-0.77,0.98,2024-06-07 15:22:15.392426,0,
705887269,2.24,3.58,-8.58,-0.35,-0.7,0.98,2024-06-07 15:22:15.392426,0,
705887274,2.27,3.49,-8.64,0.35,-0.28,0.84,2024-06-07 15:22:15.392426,0,
705887279,2.33,3.46,-8.7,0.84,-0.42,0.56,2024-06-07 15:22:15.392426,0,
705887283,2.36,3.46,-8.77,1.05,-0.42,0.42,2024-06-07 15:22:15.392426,0,
705887288,2.38,3.5,-8.84,0.77,-0.35,0.07,2024-06-07 15:22:15.392426,0,
705887295,2.37,3.43,-8.93,0.07,-0.56,-0.07,2024-06-07 15:22:15.421419,0,
705887299,2.42,3.49,-8.93,-0.63,-1.12,-0.21,2024-06-07 15:22:15.422420,0,
705887304,2.38,3.49,-8.93,-1.4,-2.03,-0.28,2024-06-07 15:22:15.422420,0,
705887309,2.4,3.54,-8.92,-2.03,-3.36,-0.49,2024-06-07 15:22:15.422420,0,
705887314,2.36,3.59,-8.88,-2.52,-4.69,-0.7,2024-06-07 15:22:15.422420,0,
705887319,2.34,3.64,-8.82,-2.66,-5.67,-0.7,2024-06-07 15:22:15.422420,0,
705887323,2.3,3.64,-8.75,-2.31,-6.51,-0.7,2024-06-07 15:22:15.422420,0,
705887328,2.27,3.64,-8.77,-1.82,-7.21,-0.63,2024-06-07 15:22:15.422420,0,
705887334,2.25,3.65,-8.76,-1.12,-7.14,-0.63,2024-06-07 15:22:15.467930,0,
705887338,2.24,3.6,-8.74,-0.35,-6.79,-0.63,2024-06-07 15:22:15.467930,0,
705887343,2.25,3.6,-8.76,0.35,-6.02,-0.49,2024-06-07 15:22:15.467930,0,
705887348,2.2,3.58,-8.73,0.91,-5.11,-0.28,2024-06-07 15:22:15.467930,0,
705887353,2.23,3.56,-8.74,1.26,-4.2,-0.07,2024-06-07 15:22:15.467930,0,
705887358,2.22,3.52,-8.76,1.54,-3.22,-0.14,2024-06-07 15:22:15.467930,0,
705887362,2.27,3.52,-8.79,1.54,-2.31,0.07,2024-06-07 15:22:15.467930,0,
705887367,2.27,3.49,-8.82,1.4,-1.75,0.21,2024-06-07 15:22:15.467930,0,
705887374,2.28,3.47,-8.83,0.98,-1.54,0.35,2024-06-07 15:22:15.511844,0,
705887378,2.29,3.48,-8.79,0.7,-1.61,0.49,2024-06-07 15:22:15.511844,0,
705887383,2.29,3.47,-8.85,0.49,-1.75,0.7,2024-06-07 15:22:15.511844,0,
705887388,2.27,3.52,-8.84,0.35,-2.31,0.7,2024-06-07 15:22:15.511844,0,
705887393,2.24,3.55,-8.77,0.07,-2.8,0.7,2024-06-07 15:22:15.511844,1,
705887398,2.24,3.51,-8.77,0.07,-3.43,0.77,2024-06-07 15:22:15.511844,0,
705887402,2.26,3.55,-8.75,0.07,-3.78,0.84,2024-06-07 15:22:15.511844,0,
705887407,2.24,3.53,-8.76,0.21,-3.92,0.77,2024-06-07 15:22:15.511844,0,
705887413,2.23,3.53,-8.77,0.14,-3.71,0.77,2024-06-07 15:22:15.541746,0,
705887417,2.22,3.54,-8.73,0.14,-3.29,0.56,2024-06-07 15:22:15.541746,0,
705887422,2.23,3.52,-8.81,0.07,-2.73,0.56,2024-06-07 15:22:15.541746,0,
705887427,2.23,3.57,-8.78,-0.07,-2.38,0.49,2024-06-07 15:22:15.541746,0,
705887432,2.24,3.57,-8.78,-0.14,-2.31,0.14,2024-06-07 15:22:15.541746,0,
705887437,2.28,3.55,-8.78,-0.21,-2.31,0.07,2024-06-07 15:22:15.541746,0,
705887441,2.23,3.58,-8.8,-0.28,-2.38,0.14,2024-06-07 15:22:15.541746,0,
705887446,2.24,3.57,-8.78,-0.42,-2.73,0.0,2024-06-07 15:22:15.541746,0,
705887453,2.21,3.61,-8.82,-0.56,-3.15,0.0,2024-06-07 15:22:15.587586,0,
705887457,2.27,3.54,-8.82,-0.63,-3.64,-0.21,2024-06-07 15:22:15.587586,0,
705887462,2.26,3.57,-8.83,-0.56,-3.92,-0.21,2024-06-07 15:22:15.587586,0,
705887467,2.25,3.56,-8.79,-0.63,-4.41,-0.21,2024-06-07 15:22:15.587586,0,
705887472,2.23,3.59,-8.77,-0.49,-4.76,-0.21,2024-06-07 15:22:15.587586,0,
705887477,2.27,3.58,-8.78,-0.35,-4.69,-0.21,2024-06-07 15:22:15.587586,0,
